time,battery_power_mw,battery_energy_mwh,grid_purchase_mw,price_yuan_per_kwh
2026-01-01 19:45:00,0.0,30.96605485465115,176.8698,0.507
2026-01-01 20:00:00,0.0,30.96605485465115,181.7814,0.507
2026-01-01 20:15:00,0.0,30.96605485465115,178.281,0.507
2026-01-01 20:30:00,0.0,30.96605485465115,140.60469999999998,0.507
2026-01-01 20:45:00,0.0,30.96605485465115,127.40189999999998,0.507
2026-01-01 21:00:00,0.0,30.96605485465115,120.45349999999999,0.507
2026-01-01 21:15:00,0.0,30.96605485465115,106.02490000000002,0.507
2026-01-01 21:30:00,0.0,30.96605485465115,107.137,0.507
2026-01-01 21:45:00,0.0,30.96605485465115,105.46279999999999,0.507
2026-01-01 22:00:00,0.0,30.96605485465115,126.56160000000001,0.507
2026-01-01 22:15:00,0.0,30.96605485465115,121.68729999999998,0.507
2026-01-01 22:30:00,0.0,30.96605485465115,116.15160000000003,0.507
2026-01-01 22:45:00,0.0,30.96605485465115,112.13740000000001,0.507
2026-01-01 23:00:00,0.0,30.96605485465115,110.34619999999998,0.507
2026-01-01 23:15:00,0.0,30.96605485465115,114.92229999999998,0.507
2026-01-01 23:30:00,0.0,30.96605485465115,114.1559,0.507
2026-01-01 23:45:00,0.0,30.96605485465115,106.8791,0.507
